camara,comision,nombre,bloque,cargo
senado,De Asuntos Administrativos y Municipales,"DE PEDRO, Eduardo Enrique",JUSTICIALISTA,Vocal
senado,De Asuntos Administrativos y Municipales,"LÓPEZ, Cándida Cristina",JUSTICIALISTA,Vocal
senado,De Asuntos Administrativos y Municipales,"MARKS, Ana Inés",JUSTICIALISTA,Vicepresidente
senado,De Asuntos Administrativos y Municipales,"REJAL, Fernando",JUSTICIA SOCIAL FEDERAL,Vocal
senado,De Asuntos Administrativos y Municipales,"ZAMORA, Gerardo",FRENTE CÍVICO POR SANTIAGO,Vocal
senado,De Asuntos Administrativos y Municipales,"ATAUCHE, Ezequiel",LA LIBERTAD AVANZA,Vocal
senado,De Asuntos Administrativos y Municipales,"COTO, Agustín Pedro",LA LIBERTAD AVANZA,Vocal
senado,De Asuntos Constitucionales,"COTO, Agustín Pedro",LA LIBERTAD AVANZA,Presidente
senado,De Asuntos Constitucionales,"MÁRQUEZ, Nadia Judith",LA LIBERTAD AVANZA,Vocal
senado,De Asuntos Constitucionales,"PAGOTTO, Juan Carlos",LA LIBERTAD AVANZA,Vocal
senado,De Asuntos Constitucionales,"BULLRICH, Patricia",LA LIBERTAD AVANZA,Vocal
senado,De Asuntos Constitucionales,"FAMA, Flavio Sergio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Asuntos Constitucionales,"ÁVILA, Beatriz Luisa",INDEPENDENCIA,Vocal
senado,De Asuntos Constitucionales,"MOISÉS, María Carolina",CONVICCIÓN FEDERAL,Vocal
senado,De Asuntos Constitucionales,"TERENZI, Edith Elizabeth",DESPIERTA CHUBUT,Vocal
senado,De Asuntos Constitucionales,"VISCHI, Eduardo Alejandro",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Asuntos Constitucionales,"SUÁREZ, Rodolfo Alejandro",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Asuntos Constitucionales,"JUEZ, Luis Alfredo",LA LIBERTAD AVANZA,Vocal
senado,De Asuntos Constitucionales,"MONTE DE OCA, María Belén",LA LIBERTAD AVANZA,Vocal
senado,De Asuntos Constitucionales,"VIGO, Alejandra María",PROVINCIAS UNIDAS,Vocal
senado,De Asuntos Constitucionales,"NEDER, José Emilio",JUSTICIALISTA,Vocal
senado,De Asuntos Constitucionales,"RECALDE, Mariano",JUSTICIALISTA,Vocal
